01 N A INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;;;;;;;;;;;
;;;;;;;;;;;;
Categoria :TODAS;;;;;;;;;;;;
SubCategoria :TODAS;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Familia;Sub-Familia;Codigo;Codigo Comercial;Descricao;Peso Embalagem;Peso Produto;Unidade Caixa;Caixa por Pallet;M3 por Caixa;M3 por Produto;Unidade Medida Padrao;Unidade Medida Provedor
ACESSORIOS;MATRIZ;17210;17210;MATRIZ EBERLE 1060/60* ;0,1;0,1;0;0;0;0;PECAS;PECAS
ACESSORIOS;MATRIZ;17270;17270;MATRIZ P/ BOTAO 3 GARRAS;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;17324;17324;MATRIZ EBERLE 2006 1005* ;0,1;0,1;0;0;0;0;PECAS;PECAS
ACESSORIOS;MATRIZ;17326;17326;MATRIZ 2020 RG* ;0,1;0,1;0;0;0;0;PECAS;PECAS
ACESSORIOS;MATRIZ;17735;17735;MATRIZ REBITE 4007;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;18769;18769;MATRIZ BOTAO 4020 ;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;18848;18848;MATRIZ REBITE 4011;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;2410;2410;MATRIZ P/ BOTAO PRESSAO 7150/80 1396;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;3827;3827;MATRIZ P/ ILHOS 45 COM ARRUELA 1497;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;4;4;MATRIZ P/ILHOS 108/45 1492;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;OUTROS;113;113;ALFINETE EXTRA FINO 29 NIQUELADO ;1;1;0;0;0;0;CAIXAS;CAIXAS
ACESSORIOS;OUTROS;20005;20005;COMPONENTES PARA BOTAO 3 GARRAS;0;0;0;0;0;0;MILHEIRO;MILHEIRO
ACESSORIOS;OUTROS;2891;2891;EMPUNHADEIRA DIREITA* ;0,2;0,2;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;OUTROS;2892;2892;EMPUNHADEIRA ESQUERDA* ;0,5;0,5;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;OUTROS;2894;2894;EJETOR MAQ. ETIQUETADEIRA* ;0,05;0,05;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;OUTROS;6404;6404;TRAMADORES PARA TEAR CROCHE;0,001;0,001;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;PINÇAS;118;118;PINCAS ;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;PINÇAS;2585;2585;PINCA COM PESCADOR ;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS PLASTICOS;PINGENTE;405;405;PINGENTE 5017 TRANSPARENTE ;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS PLASTICOS;PINGENTE;421;421;PINGENTE BOLA 5020 PRETO* ;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS PLASTICOS;PONTEIRA;410;410;PONTEIRA 008 PRETO;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS PLASTICOS;PONTEIRA;411;411;PONTEIRA 008 TRANSPARENTE;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;BORDAR;1903;1903;AGULHA P/BORDAR DB X K5  060/08 GB 75992;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;BORDAR;8854;8854;AGULHA P/BORDAR DB X K5  065/09 GB 75808;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;BORDAR;8855;8855;AGULHA P/BORDAR DB X K5  070/10 GB 75809;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;BORDAR;8856;8856;AGULHA P/BORDAR DB X K5  075/11 GB 78365;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;BORDAR;8857;8857;AGULHA P/BORDAR DB X K5  080/12 GB 75852;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;BORDAR;8858;8858;AGULHA P/BORDAR DB X K5  090/14 GB 76130;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;15233;15233;AGULHA DO X 558 130/21 RS GB 75447*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;15299;15299;AGULHA DO X 558 120/19 RS GB *;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;1898;1898;AGULHA P/ RETA CABO FINO 065/09 GB 77334*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8933;8933;AGULHA P/ RETA CABO FINO 070/10 GB 77335*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8934;8934;AGULHA P/ RETA CABO FINO 075/11 GB 77336;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8935;8935;AGULHA P/ RETA CABO FINO 080/12 GB 773372;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8936;8936;AGULHA P/ RETA CABO FINO 090/14 GB 77339;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8937;8937;AGULHA P/ RETA CABO FINO 100/16 GB 77340;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8938;8938;AGULHA P/ RETA CABO FINO 110/18 GB 77341;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8939;8939;AGULHA P/ RETA CABO FINO 120/19 GB 77460;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8940;8940;AGULHA P/ RETA CABO FINO 125/20 GB 77457;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8941;8941;AGULHA P/ RETA CABO FINO 130/21 GB 77461;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8942;8942;AGULHA P/ RETA CABO FINO 140/22 GB 77462;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO FINO;8943;8943;AGULHA P/ RETA CABO FINO 160/23 GB*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8922;8922;AGULHA P/ RETA CABO GROS. 134 070/10 GB 71764;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8923;8923;AGULHA P/ RETA CABO GROS. 134 075/11 GB 71765;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8924;8924;AGULHA P/ RETA CABO GROS. 134 080/12 GB 71766;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8925;8925;AGULHA P/ RETA CABO GROS. 134 090/14 GB 71767;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8926;8926;AGULHA P/ RETA CABO GROS. 134 100/16 GB 71768;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8927;8927;AGULHA P/ RETA CABO GROS. 134 110/18 GB 71769;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8928;8928;AGULHA P/ RETA CABO GROS. 134 120/19 GB 71770;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8929;8929;AGULHA P/ RETA CABO GROS. 134 125/20 GB 74977;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8930;8930;AGULHA P/ RETA CABO GROS. 134 130/21 GB 71771;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;CABO GROSSO;8931;8931;AGULHA P/ RETA CABO GROS. 134 140/22 GB 74966;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;ELASTIQUEIRA;15303;15303;AGULHA DE MALHARIA BEHA 79.93 T 01 (32305);1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;ELASTIQUEIRA;1891;1891;AGULHA ELASTIQUEIRA UY 113 100/16 GB 75035*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;ELASTIQUEIRA;8944;8944;AGULHA ELASTIQUEIRA UY 113 125/20 GB 70372*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;ELASTIQUEIRA;8945;8945;AGULHA ELASTIQUEIRA UY 113 130/21 GB 75606;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;ELASTIQUEIRA;8946;8946;AGULHA ELASTIQUEIRA UY 113 140/22 GB 75064*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;ETIQUETADEIRA;14562;14562;AGULHA ETIQUETADEIRA MICRO TACH 11041;0,001;0,001;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;ETIQUETADEIRA;19432;19432;AGULHA ETIQUETADEIRA 204 C/5 UNIDADES;1;1;0;0;0;0;UNIDADES;UNIDADES
