Empresa.....: N A INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;;;Data/Hora.: 09/04/2024 16:43:11;;;;;;;;;;;;
TABELA DE PREÇO;;;;Usuário.: MARCELO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Descrição...: TABELA DE PRECO 18/03;;;;;;;;;;;;;;;;
Dt. Inicial...........: 17/03/2013;;Dt. Final.......: 31/12/2050;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código;Código Comercial;Produto;Preço de Venda;COMISSAO 1 %;COMISSAO 2 %;COMISSAO 3 %;COMISSAO 4 %;COMISSAO 5 %;COMISSAO 6 %;COMISSAO 7 %;COMISSAO 8 %;COMISSAO 9 %;COMISSAO 10 %;;;
8862;8862;AGULHA GALONEIRA B 63 - 080/12 GB 77433;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8864;8864;AGULHA GALONEIRA B 63 - 100/16 GB*;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8865;8865;AGULHA GALONEIRA B 63 - 110/18 GB*;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8866;8866;AGULHA GALONEIRA B 63 - 120/19 GB*;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8947;8947;AGULHA GALONEIRA UY 128  075/11 GB 78170;2,8000;2,8280;2,8560;2,8840;2,9120;2,9400;2,9680;2,9960;3,0240;3,0520;3,0800;;;
8948;8948;AGULHA GALONEIRA UY 128  080/12 GB 70506;2,8000;2,8280;2,8560;2,8840;2,9120;2,9400;2,9680;2,9960;3,0240;3,0520;3,0800;;;
10216;10216;AGULHA GALONEIRA UY 128  090/14 GB 70507;2,8000;2,8280;2,8560;2,8840;2,9120;2,9400;2,9680;2,9960;3,0240;3,0520;3,0800;;;
9708;9708;AGULHA GALONEIRA UY 128  100/16 GB 70508;2,8000;2,8280;2,8560;2,8840;2,9120;2,9400;2,9680;2,9960;3,0240;3,0520;3,0800;;;
8949;8949;AGULHA GALONEIRA UY 128  110/18 GB 70509**;2,8000;2,8280;2,8560;2,8840;2,9120;2,9400;2,9680;2,9960;3,0240;3,0520;3,0800;;;
8951;8951;AGULHA GALONEIRA UY 128  130/21 GB 75237;2,8000;2,8280;2,8560;2,8840;2,9120;2,9400;2,9680;2,9960;3,0240;3,0520;3,0800;;;
8952;8952;AGULHA GALONEIRA UY 128  140/22 GB 70511;2,8000;2,8280;2,8560;2,8840;2,9120;2,9400;2,9680;2,9960;3,0240;3,0520;3,0800;;;
18037;18037;AGULHA OVERLOQUE B 27 060/08 GB 77387;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8867;8867;AGULHA OVERLOQUE B 27 065/09 GB 77388;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8868;8868;AGULHA OVERLOQUE B 27 070/10 GB 77389;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8869;8869;AGULHA OVERLOQUE B 27 075/11 GB 77390;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8870;8870;AGULHA OVERLOQUE B 27 080/12 GB 77391;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8871;8871;AGULHA OVERLOQUE B 27 090/14 GB 77393;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8872;8872;AGULHA OVERLOQUE B 27 100/16 GB 77394;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8873;8873;AGULHA OVERLOQUE B 27 110/18 GB 77395;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8874;8874;AGULHA OVERLOQUE B 27 120/19 GB 77396;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8875;8875;AGULHA OVERLOQUE B 27 125/20 GB 77491;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
1888;1888;AGULHA OVERLOQUE B 27 130/21 GB 77397;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
9710;9710;AGULHA OVERLOQUE B 27 140/22 GB 77470*;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
1898;1898;AGULHA P/ RETA CABO FINO 065/09 GB 77334*;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8933;8933;AGULHA P/ RETA CABO FINO 070/10 GB 77335*;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8934;8934;AGULHA P/ RETA CABO FINO 075/11 GB 77336;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8935;8935;AGULHA P/ RETA CABO FINO 080/12 GB 773372;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8936;8936;AGULHA P/ RETA CABO FINO 090/14 GB 77339;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8937;8937;AGULHA P/ RETA CABO FINO 100/16 GB 77340;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8938;8938;AGULHA P/ RETA CABO FINO 110/18 GB 77341;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8939;8939;AGULHA P/ RETA CABO FINO 120/19 GB 77460;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8940;8940;AGULHA P/ RETA CABO FINO 125/20 GB 77457;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8941;8941;AGULHA P/ RETA CABO FINO 130/21 GB 77461;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8942;8942;AGULHA P/ RETA CABO FINO 140/22 GB 77462;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8943;8943;AGULHA P/ RETA CABO FINO 160/23 GB*;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8922;8922;AGULHA P/ RETA CABO GROS. 134 070/10 GB 71764;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8923;8923;AGULHA P/ RETA CABO GROS. 134 075/11 GB 71765;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8924;8924;AGULHA P/ RETA CABO GROS. 134 080/12 GB 71766;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8925;8925;AGULHA P/ RETA CABO GROS. 134 090/14 GB 71767;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8926;8926;AGULHA P/ RETA CABO GROS. 134 100/16 GB 71768;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8927;8927;AGULHA P/ RETA CABO GROS. 134 110/18 GB 71769;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8928;8928;AGULHA P/ RETA CABO GROS. 134 120/19 GB 71770;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8929;8929;AGULHA P/ RETA CABO GROS. 134 125/20 GB 74977;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8930;8930;AGULHA P/ RETA CABO GROS. 134 130/21 GB 71771;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8931;8931;AGULHA P/ RETA CABO GROS. 134 140/22 GB 74966;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
1903;1903;AGULHA P/BORDAR DB X K5  060/08 GB 75992;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8854;8854;AGULHA P/BORDAR DB X K5  065/09 GB 75808;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8855;8855;AGULHA P/BORDAR DB X K5  070/10 GB 75809;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8856;8856;AGULHA P/BORDAR DB X K5  075/11 GB 78365;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8857;8857;AGULHA P/BORDAR DB X K5  080/12 GB 75852;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
8858;8858;AGULHA P/BORDAR DB X K5  090/14 GB 76130;1,3300;1,3433;1,3566;1,3699;1,3832;1,3965;1,4098;1,4231;1,4364;1,4497;1,4630;;;
2888;2888;AGULHA P/ETIQUET. DENNISON;15,4500;15,6045;15,7590;15,9135;16,0680;16,2225;16,3770;16,5315;16,6860;16,8405;16,9950;;;
10861;10861;AGULHA PONTA LANÇA INF. 134 LR 120/19 GB*;1,4400;1,4544;1,4688;1,4832;1,4976;1,5120;1,5264;1,5408;1,5552;1,5696;1,5840;;;
10862;10862;AGULHA PONTA LANÇA INF. 134 LR 130/21 GB*;1,5400;1,5554;1,5708;1,5862;1,6016;1,6170;1,6324;1,6478;1,6632;1,6786;1,6940;;;
9406;9406;AGULHA PONTA LANÇA 134 PCL 120/19 GB 71544;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
9407;9407;AGULHA PONTA LANÇA 134 PCL 130/21 GB 71546;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
